disease_name,definition,lab_test,lab_patterns,complications,monitoring
Heart Failure,A chronic condition where the heart cannot pump blood effectively to meet the body's needs,BNP,"{'normal': '<100 pg/mL', 'elevated': '100-400 pg/mL', 'heart_failure': '>400 pg/mL', 'severe': '>900 pg/mL'}","Pulmonary edema,Kidney dysfunction,Liver congestion,Sudden cardiac death","BNP monitoring,Echocardiography,Electrolyte monitoring,Weight monitoring"
Heart Failure,A chronic condition where the heart cannot pump blood effectively to meet the body's needs,NT-proBNP,"{'normal': '<125 pg/mL', 'mild_elevation': '125-450 pg/mL', 'moderate': '450-900 pg/mL', 'severe': '>900 pg/mL'}","Arrhythmias,Thromboembolism,Progressive heart failure,Sudden death","NT-proBNP trending,Cardiac function assessment,Medication optimization"
Heart Failure,A chronic condition where the heart cannot pump blood effectively to meet the body's needs,Creatinine,"{'normal': '0.6-1.2 mg/dL', 'mild_impairment': '1.3-1.9 mg/dL', 'moderate_impairment': '2.0-2.9 mg/dL', 'severe_impairment': '>=3.0 mg/dL'}","Cardiorenal syndrome,Electrolyte imbalances,Medication toxicity","Kidney function monitoring,Electrolyte assessment,Diuretic adjustment"
Heart Failure,A chronic condition where the heart cannot pump blood effectively to meet the body's needs,Sodium,"{'normal': '135-145 mEq/L', 'hyponatremia': '<135 mEq/L', 'severe_hyponatremia': '<125 mEq/L'}","Neurological complications,Fluid overload,Treatment complications","Electrolyte monitoring,Fluid balance assessment,Medication adjustment"
Chronic Kidney Disease,Progressive loss of kidney function over time characterized by decreased glomerular filtration rate,Creatinine,"{'normal': '0.6-1.2 mg/dL', 'stage3a': '1.3-1.7 mg/dL', 'stage3b': '1.8-3.0 mg/dL', 'stage4': '3.1-5.0 mg/dL', 'stage5': '>5.0 mg/dL'}","End-stage renal disease,Cardiovascular disease,Bone disease,Anemia","Monthly creatinine monitoring,Annual bone density,Phosphorus monitoring,PTH levels"
Chronic Kidney Disease,Progressive loss of kidney function over time characterized by decreased glomerular filtration rate,eGFR,"{'normal': '>=90 mL/min/1.73m²', 'stage2': '60-89 mL/min/1.73m²', 'stage3a': '45-59 mL/min/1.73m²', 'stage3b': '30-44 mL/min/1.73m²', 'stage4': '15-29 mL/min/1.73m²', 'stage5': '<15 mL/min/1.73m²'}","Dialysis requirement,Kidney transplant need,Cardiovascular complications","eGFR calculation,Nephrology referral,Dialysis planning,Transplant evaluation"
Chronic Kidney Disease,Progressive loss of kidney function over time characterized by decreased glomerular filtration rate,Phosphorus,"{'normal': '2.5-4.5 mg/dL', 'low': '<2.5 mg/dL', 'high': '>4.5 mg/dL', 'very_high': '>5.5 mg/dL'}","Bone disease,Cardiovascular calcification,Secondary hyperparathyroidism","Monthly phosphorus monitoring,Phosphate binder adjustment,Bone disease assessment"
Chronic Kidney Disease,Progressive loss of kidney function over time characterized by decreased glomerular filtration rate,Parathyroid hormone,"{'normal': '15-65 pg/mL', 'elevated': '65-150 pg/mL', 'high': '150-300 pg/mL', 'very_high': '>300 pg/mL'}","Bone disease,Cardiovascular disease,Mineral metabolism disorders","Quarterly PTH monitoring,Vitamin D therapy,Phosphate binder management"
Chronic Kidney Disease,Progressive loss of kidney function over time characterized by decreased glomerular filtration rate,Hemoglobin,"{'normal_male': '13.5-17.5 g/dL', 'normal_female': '12.0-15.5 g/dL', 'anemia': '<12 g/dL', 'severe_anemia': '<10 g/dL'}","Anemia,Fatigue,Cardiovascular complications","Hemoglobin monitoring,Iron studies,Erythropoietin therapy,Transfusion needs"
Hyperthyroidism,A condition characterized by excessive production of thyroid hormones leading to increased metabolic rate,TSH,"{'normal': '0.4-4.0 mIU/L', 'suppressed': '<0.1 mIU/L', 'low': '0.1-0.4 mIU/L'}","Atrial fibrillation,Osteoporosis,Thyroid storm,Heart failure","TSH monitoring every 6-8 weeks,Free T4 levels,Heart rhythm monitoring"
Hyperthyroidism,A condition characterized by excessive production of thyroid hormones leading to increased metabolic rate,Free T4,"{'normal': '0.8-1.8 ng/dL', 'elevated': '1.9-3.0 ng/dL', 'high': '>3.0 ng/dL', 'toxic': '>5.0 ng/dL'}","Cardiac arrhythmias,Bone loss,Muscle weakness,Eye problems","Free T4 monitoring,Cardiac assessment,Bone density screening,Ophthalmologic exam"
Hyperthyroidism,A condition characterized by excessive production of thyroid hormones leading to increased metabolic rate,Free T3,"{'normal': '2.3-4.2 pg/mL', 'elevated': '4.3-6.0 pg/mL', 'high': '>6.0 pg/mL'}","T3 toxicosis,Cardiovascular complications,Neuropsychiatric symptoms","T3 monitoring,Antithyroid medication adjustment,Beta-blocker therapy"
Hypothyroidism,A condition characterized by insufficient production of thyroid hormones leading to decreased metabolic rate,TSH,"{'normal': '0.4-4.0 mIU/L', 'elevated': '4.1-10.0 mIU/L', 'high': '10.1-20.0 mIU/L', 'very_high': '>20.0 mIU/L'}","Cardiovascular disease,Depression,Cognitive impairment,Myxedema coma","TSH monitoring every 6-8 weeks initially,Annual monitoring when stable"
Hypothyroidism,A condition characterized by insufficient production of thyroid hormones leading to decreased metabolic rate,Free T4,"{'normal': '0.8-1.8 ng/dL', 'low': '0.4-0.7 ng/dL', 'very_low': '<0.4 ng/dL'}","Heart disease,Mental health disorders,Infertility,Myxedema","Free T4 monitoring,Levothyroxine adjustment,Cardiac assessment"
Hypothyroidism,A condition characterized by insufficient production of thyroid hormones leading to decreased metabolic rate,Cholesterol,"{'normal': '<200 mg/dL', 'borderline': '200-239 mg/dL', 'high': '>=240 mg/dL'}","Cardiovascular disease,Hyperlipidemia,Atherosclerosis","Annual lipid screening,Statin therapy consideration,Thyroid hormone optimization"
Chronic Obstructive Pulmonary Disease,A progressive lung disease characterized by airflow limitation due to emphysema and chronic bronchitis,Arterial blood gas,"{'normal_pH': '7.35-7.45', 'acidic': '<7.35', 'alkaline': '>7.45', 'normal_CO2': '35-45 mmHg', 'high_CO2': '>45 mmHg', 'normal_O2': '80-100 mmHg', 'low_O2': '<80 mmHg'}","Respiratory failure,Cor pulmonale,Pneumonia,Exacerbations","Pulse oximetry monitoring,ABG during exacerbations,Pulmonary function tests"
Chronic Obstructive Pulmonary Disease,A progressive lung disease characterized by airflow limitation due to emphysema and chronic bronchitis,Alpha-1 antitrypsin,"{'normal': '150-350 mg/dL', 'deficient': '<150 mg/dL', 'severe_deficiency': '<50 mg/dL'}","Early emphysema,Liver disease,Accelerated lung function decline","Alpha-1 antitrypsin screening,Genetic counseling,Augmentation therapy monitoring"
Chronic Obstructive Pulmonary Disease,A progressive lung disease characterized by airflow limitation due to emphysema and chronic bronchitis,C-reactive protein,"{'normal': '<3.0 mg/L', 'elevated': '3.0-10.0 mg/L', 'high': '>10.0 mg/L'}","Systemic inflammation,Cardiovascular disease,Exacerbation risk","CRP monitoring during exacerbations,Inflammatory marker tracking"
Asthma,A chronic inflammatory airway disease characterized by variable and reversible airflow obstruction,Total IgE,"{'normal': '<100 IU/mL', 'elevated': '100-400 IU/mL', 'high': '>400 IU/mL'}","Allergic reactions,Severe asthma exacerbations,Aspergillosis","IgE monitoring,Specific allergen testing,Omalizumab therapy monitoring"
Asthma,A chronic inflammatory airway disease characterized by variable and reversible airflow obstruction,Eosinophil count,"{'normal': '50-500 cells/μL', 'elevated': '500-1500 cells/μL', 'high': '>1500 cells/μL'}","Eosinophilic asthma,ABPA,Churg-Strauss syndrome","Complete blood count,Eosinophil monitoring,Anti-IL5 therapy consideration"
Asthma,A chronic inflammatory airway disease characterized by variable and reversible airflow obstruction,Fractional exhaled nitric oxide,"{'normal': '<25 ppb', 'intermediate': '25-50 ppb', 'high': '>50 ppb'}","Poor asthma control,Increased exacerbation risk,Inflammation","FeNO monitoring,Anti-inflammatory therapy adjustment,Control assessment"
Rheumatoid Arthritis,A chronic autoimmune inflammatory disorder primarily affecting joints and causing systemic complications,Rheumatoid factor,"{'normal': '<20 IU/mL', 'low_positive': '20-60 IU/mL', 'moderate_positive': '60-120 IU/mL', 'high_positive': '>120 IU/mL'}","Joint destruction,Cardiovascular disease,Pulmonary complications,Vasculitis","RF monitoring,Disease activity assessment,DMARD therapy monitoring"
Rheumatoid Arthritis,A chronic autoimmune inflammatory disorder primarily affecting joints and causing systemic complications,Anti-CCP antibodies,"{'negative': '<20 units', 'weak_positive': '20-39 units', 'moderate_positive': '40-59 units', 'strong_positive': '>=60 units'}","Erosive arthritis,Poor prognosis,Joint deformity","Anti-CCP testing,Prognostic assessment,Early aggressive therapy"
Rheumatoid Arthritis,A chronic autoimmune inflammatory disorder primarily affecting joints and causing systemic complications,ESR,"{'normal_male': '<15 mm/hr', 'normal_female': '<20 mm/hr', 'elevated': '20-50 mm/hr', 'high': '>50 mm/hr'}","Disease activity,Systemic inflammation,Cardiovascular risk","ESR monitoring,Disease activity scores,Treatment response assessment"
Rheumatoid Arthritis,A chronic autoimmune inflammatory disorder primarily affecting joints and causing systemic complications,C-reactive protein,"{'normal': '<3.0 mg/L', 'elevated': '3.0-10.0 mg/L', 'high': '>10.0 mg/L', 'very_high': '>50.0 mg/L'}","Active inflammation,Cardiovascular complications,Disease progression","CRP monitoring,Treatment adjustment,Cardiovascular risk assessment"
Systemic Lupus Erythematosus,A chronic autoimmune connective tissue disorder affecting multiple organ systems,ANA,"{'negative': '<1:80', 'low_positive': '1:80-1:160', 'moderate_positive': '1:320-1:640', 'high_positive': '>=1:1280'}","Nephritis,Neuropsychiatric lupus,Cardiovascular disease,Antiphospholipid syndrome","ANA monitoring,Organ-specific assessments,Complement levels,Anti-dsDNA"
Systemic Lupus Erythematosus,A chronic autoimmune connective tissue disorder affecting multiple organ systems,Anti-dsDNA,"{'negative': '<30 IU/mL', 'low_positive': '30-75 IU/mL', 'moderate_positive': '75-200 IU/mL', 'high_positive': '>200 IU/mL'}","Lupus nephritis,Disease flares,Kidney damage","Anti-dsDNA monitoring,Kidney function tests,Urinalysis,Complement levels"
Systemic Lupus Erythematosus,A chronic autoimmune connective tissue disorder affecting multiple organ systems,Complement C3,"{'normal': '90-180 mg/dL', 'low': '50-89 mg/dL', 'very_low': '<50 mg/dL'}","Active lupus,Nephritis,Complement consumption","Complement monitoring,Disease activity assessment,Nephritis surveillance"
Systemic Lupus Erythematosus,A chronic autoimmune connective tissue disorder affecting multiple organ systems,Complement C4,"{'normal': '10-40 mg/dL', 'low': '5-9 mg/dL', 'very_low': '<5 mg/dL'}","Disease activity,Immune complex formation,Organ involvement","C4 monitoring,Immunosuppressive therapy adjustment,Flare prediction"
Inflammatory Bowel Disease,Chronic inflammatory disorders of the gastrointestinal tract including Crohn's disease and ulcerative colitis,C-reactive protein,"{'normal': '<3.0 mg/L', 'elevated': '3.0-10.0 mg/L', 'high': '10.1-50.0 mg/L', 'very_high': '>50.0 mg/L'}","Strictures,Fistulas,Perforation,Colorectal cancer","CRP monitoring,Colonoscopy surveillance,Calprotectin levels,Imaging studies"
Inflammatory Bowel Disease,Chronic inflammatory disorders of the gastrointestinal tract including Crohn's disease and ulcerative colitis,Fecal calprotectin,"{'normal': '<50 μg/g', 'borderline': '50-120 μg/g', 'elevated': '120-250 μg/g', 'high': '>250 μg/g'}","Mucosal inflammation,Disease relapse,Treatment failure","Calprotectin monitoring,Endoscopic assessment,Treatment optimization"
Inflammatory Bowel Disease,Chronic inflammatory disorders of the gastrointestinal tract including Crohn's disease and ulcerative colitis,Albumin,"{'normal': '3.5-5.0 g/dL', 'mild_low': '3.0-3.4 g/dL', 'moderate_low': '2.5-2.9 g/dL', 'severe_low': '<2.5 g/dL'}","Malnutrition,Protein loss,Poor wound healing,Increased mortality","Nutritional assessment,Albumin monitoring,Dietary counseling,TPN consideration"
Inflammatory Bowel Disease,Chronic inflammatory disorders of the gastrointestinal tract including Crohn's disease and ulcerative colitis,Hemoglobin,"{'normal_male': '13.5-17.5 g/dL', 'normal_female': '12.0-15.5 g/dL', 'mild_anemia': '10.0-11.9 g/dL', 'moderate_anemia': '8.0-9.9 g/dL', 'severe_anemia': '<8.0 g/dL'}","Iron deficiency anemia,Chronic disease anemia,GI bleeding","CBC monitoring,Iron studies,B12 and folate levels,Endoscopic evaluation"
Hepatitis C,A viral infection of the liver caused by the hepatitis C virus leading to chronic liver disease,HCV RNA,"{'undetectable': '<15 IU/mL', 'low': '15-800000 IU/mL', 'high': '>800000 IU/mL'}","Cirrhosis,Hepatocellular carcinoma,End-stage liver disease,Extrahepatic manifestations","HCV RNA monitoring,Genotype testing,Treatment response assessment,SVR confirmation"
Hepatitis C,A viral infection of the liver caused by the hepatitis C virus leading to chronic liver disease,ALT,"{'normal_male': '<41 U/L', 'normal_female': '<33 U/L', 'elevated': '2-5x normal', 'high': '>5x normal'}","Liver inflammation,Fibrosis progression,Treatment indication","ALT monitoring,Liver function tests,FibroScan,Liver biopsy consideration"
Hepatitis C,A viral infection of the liver caused by the hepatitis C virus leading to chronic liver disease,AST,"{'normal': '<40 U/L', 'elevated': '40-120 U/L', 'high': '>120 U/L'}","Hepatic necrosis,Cirrhosis development,Hepatocellular carcinoma risk","AST monitoring,AST/ALT ratio,Platelet count,Coagulation studies"
Hepatitis C,A viral infection of the liver caused by the hepatitis C virus leading to chronic liver disease,Platelet count,"{'normal': '150000-450000/μL', 'mild_thrombocytopenia': '100000-149000/μL', 'moderate_thrombocytopenia': '50000-99000/μL', 'severe_thrombocytopenia': '<50000/μL'}","Thrombocytopenia,Bleeding complications,Splenomegaly,Portal hypertension","CBC monitoring,Bleeding precautions,Platelet transfusion needs,Spleen assessment"
HIV Infection,A chronic viral infection caused by human immunodeficiency virus affecting the immune system,CD4 count,"{'normal': '500-1200 cells/μL', 'mild_immunosuppression': '200-499 cells/μL', 'severe_immunosuppression': '<200 cells/μL'}","Opportunistic infections,AIDS,Malignancies,Immune reconstitution syndrome","CD4 monitoring every 3-6 months,Opportunistic infection prophylaxis,ART monitoring"
HIV Infection,A chronic viral infection caused by human immunodeficiency virus affecting the immune system,HIV viral load,"{'undetectable': '<50 copies/mL', 'low': '50-1000 copies/mL', 'moderate': '1000-100000 copies/mL', 'high': '>100000 copies/mL'}","Disease progression,Transmission risk,Treatment failure,Drug resistance","Viral load monitoring,ART adherence,Resistance testing,Transmission prevention"
HIV Infection,A chronic viral infection caused by human immunodeficiency virus affecting the immune system,HIV resistance,"{'susceptible': 'No mutations', 'low_resistance': 'Minor mutations', 'moderate_resistance': 'Major mutations', 'high_resistance': 'Multiple major mutations'}","Treatment failure,Limited drug options,Disease progression","Resistance testing,Drug selection,ART optimization,Salvage therapy"
Osteoporosis,A bone disease characterized by decreased bone density and increased fracture risk,Bone density T-score,"{'normal': '>=-1.0', 'osteopenia': '-1.0 to -2.5', 'osteoporosis': '<=-2.5', 'severe_osteoporosis': '<=-2.5 with fracture'}","Hip fracture,Vertebral fracture,Wrist fracture,Loss of height,Disability","DEXA scan every 2 years,Fracture risk assessment,Vitamin D levels,Calcium monitoring"
Osteoporosis,A bone disease characterized by decreased bone density and increased fracture risk,25-hydroxyvitamin D,"{'deficient': '<20 ng/mL', 'insufficient': '20-29 ng/mL', 'sufficient': '30-100 ng/mL', 'excess': '>100 ng/mL'}","Bone loss,Fracture risk,Muscle weakness,Falls","Vitamin D monitoring,Supplementation adjustment,Calcium absorption assessment"
Osteoporosis,A bone disease characterized by decreased bone density and increased fracture risk,Parathyroid hormone,"{'normal': '15-65 pg/mL', 'elevated': '65-150 pg/mL', 'high': '>150 pg/mL'}","Secondary hyperparathyroidism,Bone loss,Calcium metabolism disorders","PTH monitoring,Calcium levels,Vitamin D status,Bone turnover markers"
Gout,An inflammatory arthritis caused by deposition of uric acid crystals in joints and tissues,Serum uric acid,"{'normal_male': '<7.0 mg/dL', 'normal_female': '<6.0 mg/dL', 'hyperuricemia': '>=7.0 mg/dL', 'target': '<6.0 mg/dL'}","Tophi,Kidney stones,Chronic arthritis,Joint destruction","Uric acid monitoring,Joint aspiration,Kidney function tests,Urate-lowering therapy"
Gout,An inflammatory arthritis caused by deposition of uric acid crystals in joints and tissues,Creatinine,"{'normal': '0.6-1.2 mg/dL', 'mild_elevation': '1.3-1.9 mg/dL', 'moderate_elevation': '2.0-2.9 mg/dL', 'severe_elevation': '>=3.0 mg/dL'}","Uric acid nephropathy,Chronic kidney disease,Drug toxicity","Kidney function monitoring,Medication dose adjustment,Allopurinol hypersensitivity screening"
Gout,An inflammatory arthritis caused by deposition of uric acid crystals in joints and tissues,C-reactive protein,"{'normal': '<3.0 mg/L', 'elevated': '3.0-10.0 mg/L', 'high': '10.1-50.0 mg/L', 'very_high': '>50.0 mg/L'}","Acute gout flares,Systemic inflammation,Cardiovascular risk","CRP monitoring during flares,Anti-inflammatory therapy,Colchicine response"
Anemia,A condition characterized by insufficient red blood cells or hemoglobin to carry adequate oxygen,Hemoglobin,"{'normal_male': '13.5-17.5 g/dL', 'normal_female': '12.0-15.5 g/dL', 'mild_anemia': '10.0-11.9 g/dL', 'moderate_anemia': '8.0-9.9 g/dL', 'severe_anemia': '<8.0 g/dL'}","Heart failure,Fatigue,Cognitive impairment,Growth retardation","Hemoglobin monitoring,Iron studies,B12 and folate levels,Reticulocyte count"
Anemia,A condition characterized by insufficient red blood cells or hemoglobin to carry adequate oxygen,Iron,"{'normal_male': '65-175 μg/dL', 'normal_female': '50-170 μg/dL', 'deficient': '<50 μg/dL'}","Iron deficiency anemia,Restless leg syndrome,Cognitive impairment","Iron studies,TIBC,Ferritin levels,Iron supplementation monitoring"
Anemia,A condition characterized by insufficient red blood cells or hemoglobin to carry adequate oxygen,Ferritin,"{'normal_male': '12-300 ng/mL', 'normal_female': '12-150 ng/mL', 'deficient': '<12 ng/mL', 'overload': '>300 ng/mL'}","Iron deficiency,Iron overload,Organ dysfunction","Ferritin monitoring,Iron supplementation,Hemochromatosis screening,Liver function"
Anemia,A condition characterized by insufficient red blood cells or hemoglobin to carry adequate oxygen,Vitamin B12,"{'normal': '200-900 pg/mL', 'low_normal': '200-300 pg/mL', 'deficient': '<200 pg/mL'}","Megaloblastic anemia,Neurological complications,Cognitive decline","B12 monitoring,Intrinsic factor antibodies,Methylmalonic acid levels"
Anemia,A condition characterized by insufficient red blood cells or hemoglobin to carry adequate oxygen,Folate,"{'normal': '2.7-17.0 ng/mL', 'low': '2.0-2.6 ng/mL', 'deficient': '<2.0 ng/mL'}","Megaloblastic anemia,Neural tube defects,Cardiovascular disease","Folate monitoring,Folic acid supplementation,Homocysteine levels"
Pneumonia,An infection of the lungs causing inflammation of the alveoli and respiratory symptoms,White blood cell count,"{'normal': '4000-11000/μL', 'leukopenia': '<4000/μL', 'leukocytosis': '>11000/μL', 'severe_leukocytosis': '>20000/μL'}","Sepsis,Respiratory failure,Pleural effusion,Lung abscess","CBC with differential,Blood cultures,Chest X-ray,Oxygen saturation"
Pneumonia,An infection of the lungs causing inflammation of the alveoli and respiratory symptoms,Procalcitonin,"{'normal': '<0.1 ng/mL', 'low_risk': '0.1-0.25 ng/mL', 'moderate_risk': '0.25-0.5 ng/mL', 'high_risk': '>0.5 ng/mL', 'sepsis': '>2.0 ng/mL'}","Bacterial sepsis,Severe pneumonia,Multi-organ failure","Procalcitonin monitoring,Antibiotic guidance,Sepsis evaluation"
Pneumonia,An infection of the lungs causing inflammation of the alveoli and respiratory symptoms,C-reactive protein,"{'normal': '<3.0 mg/L', 'elevated': '3.0-10.0 mg/L', 'high': '10.1-100.0 mg/L', 'very_high': '>100.0 mg/L'}","Systemic inflammation,Treatment failure,Complications","CRP monitoring,Treatment response,Recovery assessment"
Pneumonia,An infection of the lungs causing inflammation of the alveoli and respiratory symptoms,Lactate,"{'normal': '0.5-1.6 mmol/L', 'elevated': '1.6-4.0 mmol/L', 'high': '>4.0 mmol/L'}","Septic shock,Tissue hypoxia,Multi-organ dysfunction","Lactate monitoring,Fluid resuscitation,Vasopressor therapy"
Acute Myocardial Infarction,Death of heart muscle due to insufficient blood supply typically caused by coronary artery occlusion,Troponin T,"{'normal': '<0.01 ng/mL', 'elevated': '0.01-0.1 ng/mL', 'high': '>0.1 ng/mL', 'massive_MI': '>10 ng/mL'}","Cardiogenic shock,Ventricular arrhythmias,Heart failure,Death","Serial troponin monitoring,ECG surveillance,Echocardiography,Cardiac catheterization"
Acute Myocardial Infarction,Death of heart muscle due to insufficient blood supply typically caused by coronary artery occlusion,Creatine kinase,"{'normal_male': '52-336 U/L', 'normal_female': '38-176 U/L', 'elevated': '2-10x normal', 'very_high': '>10x normal'}","Extensive myocardial damage,Complications,Poor prognosis","CK monitoring,Peak CK assessment,Recovery tracking"
Acute Myocardial Infarction,Death of heart muscle due to insufficient blood supply typically caused by coronary artery occlusion,LDH,"{'normal': '140-280 U/L', 'elevated': '280-500 U/L', 'high': '>500 U/L'}","Tissue necrosis,Hemolysis,Liver dysfunction","LDH monitoring,Tissue damage assessment,Differential diagnosis"
Stroke,Sudden loss of brain function due to disturbance in blood supply to the brain,D-dimer,"{'normal': '<0.5 mg/L', 'elevated': '0.5-2.0 mg/L', 'high': '>2.0 mg/L'}","Thromboembolism,Pulmonary embolism,Deep vein thrombosis","D-dimer monitoring,Coagulation studies,Anticoagulation therapy"
Stroke,Sudden loss of brain function due to disturbance in blood supply to the brain,INR,"{'normal': '0.8-1.1', 'therapeutic': '2.0-3.0', 'supratherapeutic': '>3.0'}","Bleeding complications,Thrombotic events,Anticoagulation management","INR monitoring,Warfarin dose adjustment,Bleeding assessment"
Stroke,Sudden loss of brain function due to disturbance in blood supply to the brain,Glucose,"{'normal': '70-140 mg/dL', 'hypoglycemic': '<70 mg/dL', 'hyperglycemic': '>180 mg/dL'}","Neurological worsening,Cognitive impairment,Recovery complications","Blood glucose monitoring,Diabetes management,Neurological assessment"
Pulmonary Embolism,Blockage of pulmonary arteries by blood clots causing impaired gas exchange and circulation,D-dimer,"{'normal': '<0.5 mg/L', 'elevated': '0.5-2.0 mg/L', 'high': '2.0-10.0 mg/L', 'very_high': '>10.0 mg/L'}","Right heart failure,Pulmonary hypertension,Death,Chronic thromboembolic disease","D-dimer monitoring,CT pulmonary angiogram,Echocardiography,Anticoagulation"
Pulmonary Embolism,Blockage of pulmonary arteries by blood clots causing impaired gas exchange and circulation,Arterial blood gas,"{'normal_pH': '7.35-7.45', 'acidotic': '<7.35', 'normal_pO2': '80-100 mmHg', 'hypoxemic': '<80 mmHg', 'normal_pCO2': '35-45 mmHg'}","Respiratory failure,Hypoxemia,Acidosis","ABG monitoring,Oxygen therapy,Ventilatory support"
